2.003192901611328125e-03,2.728218505859375000e+03
1.855325698852539062e-02,7.134303283691406250e+01
2.835679054260253906e-02,2.696125793457031250e+02
7.932662963867187500e-03,9.181610717773437500e+02
2.575182914733886719e-02,1.137775421142578125e+02
1.560330390930175781e-02,3.814196166992187500e+02
1.238155364990234375e-02,3.652792053222656250e+02
1.724743843078613281e-02,4.161247558593750000e+02
1.724791526794433594e-02,4.226555480957031250e+02
4.070997238159179688e-03,1.706165771484375000e+03
1.842546463012695312e-02,1.106069869995117188e+02
1.815366744995117188e-02,1.222767333984375000e+03
2.468776702880859375e-02,3.752121276855468750e+02
1.478409767150878906e-02,1.978450164794921875e+02
2.274179458618164062e-02,7.920784912109375000e+02
1.402640342712402344e-02,2.042515991210937500e+03
1.813268661499023438e-02,5.681476593017578125e+01
1.858472824096679688e-02,8.250506401062011719e+00
1.674246788024902344e-02,1.909984008789062500e+03
1.672172546386718750e-02,3.341739196777343750e+02
1.661348342895507812e-02,8.346761474609375000e+02
1.691651344299316406e-02,1.365831604003906250e+02
5.555391311645507812e-03,6.037042236328125000e+02
1.955604553222656250e-02,7.568255004882812500e+02
2.602863311767578125e-02,2.068349365234375000e+03
1.083183288574218750e-02,1.462177246093750000e+03
2.010416984558105469e-02,1.759040069580078125e+02
1.586675643920898438e-02,1.964124755859375000e+03
1.625823974609375000e-02,1.788783836364746094e+01
1.626014709472656250e-03,5.211862921714782715e-01
1.724815368652343750e-02,7.337205410003662109e+00
1.727843284606933594e-02,1.404434570312500000e+03
1.725196838378906250e-02,1.143850952148437500e+03
1.723122596740722656e-02,8.670966186523437500e+02
1.724815368652343750e-02,1.304175262451171875e+02
1.725769042968750000e-02,1.784510498046875000e+03
1.730298995971679688e-02,2.691736145019531250e+02
2.630233764648437500e-03,-5.000000074505805969e-02
1.726984977722167969e-02,1.628004150390625000e+03
1.725864410400390625e-02,6.190795898437500000e+02
1.724696159362792969e-02,1.296148315429687500e+03
1.723670959472656250e-02,5.759078979492187500e+02
1.724767684936523438e-02,2.466287536621093750e+02
1.726269721984863281e-02,3.936208801269531250e+02
1.721072196960449219e-02,1.497796142578125000e+03
1.726841926574707031e-02,1.158963867187500000e+03
1.827239990234375000e-02,1.043474487304687500e+03
1.812577247619628906e-02,1.798889007568359375e+02
1.787161827087402344e-02,1.604470062255859375e+02
1.556181907653808594e-02,2.012171264648437500e+03
4.651069641113281250e-03,6.096597194671630859e+00
1.835560798645019531e-02,7.820062255859375000e+02
1.840305328369140625e-02,6.620030517578125000e+02
1.852917671203613281e-02,3.845111999511718750e+02
2.363228797912597656e-02,6.587784423828125000e+02
1.324868202209472656e-02,6.571306762695312500e+02
1.836419105529785156e-02,5.093986206054687500e+02
1.700139045715332031e-02,1.197684570312500000e+03
1.732397079467773438e-02,1.573574462890625000e+03
3.077507019042968750e-03,1.260805206298828125e+02
1.912117004394531250e-02,9.776752471923828125e+01
1.742172241210937500e-02,8.739909172058105469e+00
1.852583885192871094e-02,1.590189208984375000e+02
1.842236518859863281e-02,1.499892089843750000e+03
2.210688591003417969e-02,1.881002929687500000e+03
1.439881324768066406e-02,2.399992187500000000e+03
1.797294616699218750e-02,4.882235107421875000e+02
1.561021804809570312e-02,2.758589477539062500e+02
4.262685775756835938e-03,1.450000976562500000e+03
1.868486404418945312e-02,1.201801269531250000e+03
1.849365234375000000e-02,9.936630249023437500e+01
1.781630516052246094e-02,2.857999992370605469e+01
1.883268356323242188e-02,8.110282135009765625e+01
1.815319061279296875e-02,1.925120239257812500e+02
2.058863639831542969e-02,3.219028711318969727e-01
1.553297042846679688e-02,1.859518066406250000e+03
1.558113098144531250e-02,2.695785827636718750e+02
4.703044891357421875e-03,4.155506134033203125e+01
1.728177070617675781e-02,1.303149658203125000e+03
1.724505424499511719e-02,8.471669006347656250e+01
1.723623275756835938e-02,3.647037963867187500e+02
1.724791526794433594e-02,1.830829925537109375e+02
1.724791526794433594e-02,1.644988555908203125e+02
1.626014709472656250e-03,6.746819458007812500e+02
1.722526550292968750e-02,2.119828125000000000e+03
1.727962493896484375e-02,1.484455871582031250e+02
1.724696159362792969e-02,1.089616821289062500e+03
1.723647117614746094e-02,1.978098754882812500e+03
2.165865898132324219e-02,1.245098266601562500e+03
1.619863510131835938e-02,3.035728149414062500e+02
8.877992630004882812e-03,3.385065307617187500e+02
1.825022697448730469e-02,1.129426391601562500e+03
1.831865310668945312e-02,3.093890686035156250e+02
2.072644233703613281e-02,2.189485473632812500e+02
1.635813713073730469e-02,1.361144531250000000e+03
5.321025848388671875e-03,2.213362304687500000e+03
1.686811447143554688e-02,7.749070434570312500e+02
1.827120780944824219e-02,2.660949401855468750e+02
2.627968788146972656e-02,1.571386718750000000e+03
1.618075370788574219e-02,6.608732299804687500e+02
1.661014556884765625e-02,2.270870361328125000e+02
1.346302032470703125e-02,6.341513671875000000e+02
1.819348335266113281e-02,2.020647735595703125e+02
1.689076423645019531e-02,1.032994689941406250e+02
1.828956604003906250e-02,5.090399780273437500e+02
1.707887649536132812e-02,2.595165405273437500e+02
4.949569702148437500e-03,2.154010772705078125e+02
1.680469512939453125e-02,5.666769409179687500e+02
2.864646911621093750e-02,5.364308471679687500e+02
1.640892028808593750e-02,1.462201904296875000e+03
1.633882522583007812e-02,2.587798583984375000e+03
1.722431182861328125e-02,3.239871215820312500e+02
1.637983322143554688e-02,3.667185668945312500e+02
1.730155944824218750e-02,6.854738616943359375e+01
1.627779006958007812e-02,1.143337646484375000e+03
1.561570167541503906e-02,9.532584838867187500e+02
3.943920135498046875e-03,5.331561889648437500e+02
1.774072647094726562e-02,6.693729858398437500e+02
2.665019035339355469e-02,3.937663879394531250e+02
1.586794853210449219e-02,2.405973632812500000e+03
1.147508621215820312e-02,2.463756866455078125e+02
1.727890968322753906e-02,3.953021545410156250e+02
1.723670959472656250e-02,5.635854492187500000e+02
