1.363708019256591797e+00,1.665910779174377322e+08,1.901725069679560885e+07,2.874322417516372298e+03
7.327487468719482422e-01,1.218183612003931999e+08,8.821721079160961509e+07,5.769816405533068746e+02
7.531042098999023438e-01,9.294541455075892806e+07,3.532438594419892877e+07,8.176179081191528439e+02
9.894490242004394531e-01,6.878770202746854722e+07,6.810572863642986119e+07,6.429827237568769306e+03
1.130340337753295898e+00,8.625292184436470270e+07,6.220754976276106387e+07,9.544587127867722529e+02
1.442494153976440430e+00,9.507520017017285526e+07,7.696942852802351117e+07,1.455639863224174860e+03
9.326000213623046875e-01,9.347651052459715307e+07,7.944672321585936844e+07,1.181813976230119579e+03
1.122895240783691406e+00,1.225128791030984819e+08,7.954728117425602674e+07,7.666409354839527168e+02
3.836460113525390625e-01,6.002000519184226543e+07,9.687455764898917079e+07,1.607152334463649822e+03
1.418678760528564453e+00,1.459368433349989951e+08,0.000000000000000000e+00,1.054499001591736032e+03
