6.413054466247558594e-02,4.483090820312500000e+02
1.728320121765136719e-02,1.812353149414062500e+03
3.289723396301269531e-02,1.097959365844726562e+02
1.726198196411132812e-02,6.169700317382812500e+02
1.731157302856445312e-02,3.656050109863281250e+02
1.727414131164550781e-02,1.766035888671875000e+03
1.727771759033203125e-02,2.566842317581176758e+00
1.732754707336425781e-02,1.061260253906250000e+03
3.282737731933593750e-02,2.025021362304687500e+03
3.289341926574707031e-02,3.043723388671875000e+03
1.727938652038574219e-02,4.945832824707031250e+02
3.289437294006347656e-02,1.612828491210937500e+03
1.727604866027832031e-02,1.538913085937500000e+03
3.289246559143066406e-02,1.215530883789062500e+03
1.728010177612304688e-02,6.975302124023437500e+02
1.727867126464843750e-02,1.243814697265625000e+03
1.727247238159179688e-02,8.589564819335937500e+02
1.726460456848144531e-02,1.337251067161560059e-01
1.757049560546875000e-02,9.685427246093750000e+02
2.545094490051269531e-02,4.896824340820312500e+02
2.005720138549804688e-02,2.726969482421875000e+03
1.727747917175292969e-02,1.667845092773437500e+03
1.727890968322753906e-02,2.087918548583984375e+02
1.727056503295898438e-02,8.275881958007812500e+02
1.727414131164550781e-02,1.145084960937500000e+03
1.726865768432617188e-02,1.014860473632812500e+03
1.729631423950195312e-02,6.698346710205078125e+01
1.726627349853515625e-02,1.058352539062500000e+03
1.727581024169921875e-02,1.487939331054687500e+03
1.727604866027832031e-02,1.021384963989257812e+02
1.727485656738281250e-02,1.511253051757812500e+03
3.289771080017089844e-02,3.925957336425781250e+02
1.727247238159179688e-02,7.327048492431640625e+01
3.289604187011718750e-02,5.839473266601562500e+02
1.724815368652343750e-02,4.227450866699218750e+02
1.730799674987792969e-02,3.463674316406250000e+02
2.062726020812988281e-02,4.037399902343750000e+02
1.827073097229003906e-02,7.231719970703125000e+02
1.730823516845703125e-02,3.071462402343750000e+02
1.727676391601562500e-02,1.439207000732421875e+02
1.728749275207519531e-02,1.242229980468750000e+03
1.725935935974121094e-02,4.007542724609375000e+02
