3.580508232116699219e-01,7.681804284379816636e+03,4.831252289772922268e+03,8.044236450195312500e+02
2.347338199615478516e-01,8.543634794169640372e+03,4.789696789039067880e+03,9.071163330078125000e+02
1.033711194992065430e+00,8.035169589872953111e+03,4.850709378223164094e+03,7.085889282226562500e+02
2.486960887908935547e-01,8.726540150418486519e+03,4.723754867930904766e+03,9.525788574218750000e+02
2.170951366424560547e-01,8.517543678595888196e+03,4.709315381983117732e+03,1.530696289062500000e+03
2.342832088470458984e-01,7.935975282536495797e+03,4.774898817102308385e+03,3.572988037109375000e+03
2.223403453826904297e-01,7.399467368000016904e+03,4.777818285979117718e+03,7.061231079101562500e+02
2.660174369812011719e-01,8.131292627638305021e+03,4.790747600477667220e+03,5.713774490356445312e+01
2.338764667510986328e-01,7.082720346977022018e+03,4.757499601337073727e+03,4.626615905761718750e+02
3.012449741363525391e-01,7.687900058825011911e+03,4.765250230370518693e+03,1.387282592773437955e+03
2.186570167541503906e-01,8.128637465550414163e+03,4.830452728523096084e+03,1.705178955078125000e+03
2.506639957427978516e-01,7.291161566326727552e+03,4.287331831564936692e+03,2.345915985107421875e+01
3.170466423034667969e-01,5.711620415352880627e+03,4.781965536028610586e+03,1.758758300781250000e+03
2.505326271057128906e-01,8.157081886129034501e+03,4.802886374362267816e+03,8.084654541015625000e+02
2.182693481445312500e-01,8.281926558665263656e+03,4.385930144406152976e+03,1.909169433593750000e+03
1.804778575897216797e-01,4.060499563014452178e+03,4.821062281687561153e+03,1.827542266845703125e+02
1.337237358093261719e-01,8.575462805842109447e+03,4.247017868212184112e+03,1.346631835937500000e+03
2.846462726593017578e-01,8.765579804200026047e+03,4.688060962428402490e+03,2.866504287719726918e+01
1.983804702758789062e-01,8.064183920799789121e+03,4.763745299936433184e+03,1.655593872070312045e+03
2.514121532440185547e-01,7.349923112870090335e+03,4.741580503024005338e+03,2.248900909423828125e+02
1.668732166290283203e-01,8.382768433520237522e+03,4.820344105823320206e+03,1.943586120605469034e+02
1.477832794189453125e-01,8.393076490854891745e+03,4.844262757030150169e+03,9.249861907958984375e+01
1.999847888946533203e-01,8.428849058118477842e+03,4.693107068590597919e+03,-4.556703948974608664e+01
1.731655597686767578e-01,8.621939235831350743e+03,4.811378434206448219e+03,4.100646667480468750e+02
2.129895687103271484e-01,8.353955428380018930e+03,4.771624311405794288e+03,7.844992065429687500e+01
2.517008781433105469e-01,8.183840922713921827e+03,4.679871789333211382e+03,3.418404846191406250e+02
2.499890327453613281e-01,8.610919531602132338e+03,4.715042238030058797e+03,6.277125244140625000e+02
2.346351146697998047e-01,8.532083298673476747e+03,4.767782252969179353e+03,2.311409301757811932e+02
1.847789287567138672e-01,8.363098267600116742e+03,4.663552419505060243e+03,1.168425659179687955e+03
2.677567005157470703e-01,8.444377721223814660e+03,4.110776297191478989e+03,1.113389892578125000e+03
2.679872512817382812e-01,8.217171801157965092e+03,4.783582240749324228e+03,9.978461914062500000e+02
2.467298507690429688e-01,8.639578267187995152e+03,4.819014339281469802e+03,9.263895874023437500e+02
2.675027847290039062e-01,7.605721561219475916e+03,4.742396553856342507e+03,5.638330688476562500e+02
1.847906112670898438e-01,7.853385415047875540e+03,4.850990080667691473e+03,4.785837402343750000e+02
2.790119647979736328e-01,8.630937276113194457e+03,4.839246835701717828e+03,5.802794799804687500e+02
