4.930925369262695312e-01,6.838964182703432441e+07,1.061386902586172074e+08,8.763126831054687500e+02
1.024761199951171875e-01,1.628648859277110398e+08,1.169095820155445784e+08,1.333070526123046875e+02
1.135506629943847656e-01,1.804218938711420298e+08,1.181253537903076559e+08,2.491178131103515909e+02
2.585361003875732422e-01,1.704565801258635819e+08,1.168187917312930971e+08,1.956705200195312045e+03
1.030316352844238281e-01,1.809865030608445108e+08,1.162336315036966354e+08,2.904872741699218750e+02
2.080597877502441406e-01,1.711508943965523541e+08,1.163382390747208297e+08,4.430476989746093750e+02
2.408061027526855469e-01,1.365238880559791327e+08,1.108335656220226139e+08,3.588911132812500000e+02
6.121549606323242188e-01,1.564889499104348123e+08,8.117423423863787949e+07,2.345713958740234091e+02
6.781659126281738281e-01,1.530114285874747932e+08,1.097645456669109166e+08,5.055065002441406250e+02
1.170325756072998047e+00,1.440981377234929204e+08,1.142040893816872984e+08,3.424562377929688068e+02
